number,Clade,Checked Initials,Data?,Last page of scholar results that have been completed.,"Each name should be combined with the words: asynaptic, achiasmatic, ""distance pairing"". So three google scholar searches for each row."
538,Hemiptera,KB,Yes,"finished distance pairing and achiasmtic, on asynaptic",
799,Turbellaria,SS,No,,
780,Gastropoda,KB,No,,
1,Acanthaceae,HB,No,,
436,Acanthomeridiida,KL,No,,
814,Acercostraca,SS,No,,
2,Achariaceae,KH,No,,
3,Achatocarpaceae,KH,No,,
702,Acoela,KB,No,,
4,Acoraceae,KH,No,,
5,Actinidiaceae,KH,No,,
741,Actinistia,KL,No,,
438,Aeschronectida,KL,No,,
6,Aextoxicaceae,KH,No,,
816,Aglaspidida,SS,No,,
440,Agnostina,JA,No,extinct clade,
818,Ainiktozoiformes,SS,No,,
7,Aizoaceae,KH,No,,
8,Akaniaceae,KH,No,,
819,Alienoptera,SS,No,,
9,Alismataceae,KH,No,,
774,Allomalorhagida,KB,No,,
10,Alseuosmiaceae,KH,No,,
11,Alstroemeriaceae,KH,No,,
12,Altingiaceae,KH,No,,
13,Alzateaceae,KH,No,,
14,Amaranthaceae,WS,No,,
15,Amaryllidaceae,KL,No,,
820,Amblypygi,SS,No,,
16,Amborellaceae,KL,No,,
745,Amniota,KB,No,,
444,Amphipoda,JA,No,,
822,Amynilyspedida,SS,No,,
17,Anacampserotaceae,KL,No,,
18,Anacardiaceae,KL,No,,
446,Anaspidacea,JA,No,,
19,Ancistrocladaceae,PM,No,,
824,Angustidontida,SS,No,,
20,Anisophylleaceae,PM,No,,
21,Annonaceae,PM,No,,
790,Anopla,SS,No,,
448,Anostraca,KB,No,,
22,Aphanopetalaceae,PM,No,,
23,Aphloiaceae,PM,No,,
24,Apiaceae,PM ,No,,
777,Aplacophora,KB,No,,
25,Apocynaceae,KH,No,,
26,Apodanthaceae,KH,No,,
27,Aponogetonaceae ,KH,No,,
732,Appendicularia,KL,No,,
28,Aquifoliaceae,KH,No,,
30,Araliaceae,KL,No,,
31,Araucariaceae,KL,No,,
450,Archaeognatha,KL,No,,
828,Archaeolepadomorpha,KB,No,,
829,Archaeostraca,KB,No,,
830,Archelytroidea,KB,No,,
699,Archiacanthocephala,AM,No,,
831,Archidesmida,KB,No,,
832,Archodonata,KB,No,,
32,Arecaceae,KL,No,,
833,Argentinoptera,KB,No,,
33,Argophyllaceae,KL,No,,
834,Arguloida,KB,No,,
34,Aristolochiaceae,KL,No,,
835,Arthropleurida,KB,No,,
836,Asaphida,KB,No,,
35,Asparagaceae,KL,No,,
36,Asphodelaceae,KL,No,,
37,Asteliaceae,KL,No,,
38,Asteraceae,KB,No,,
763,Asteroidea,KB,No,,
39,Asteropeiaceae,MC,No,,
762,Asterozoa,KB,No,,
40,Atherospermataceae,MC,No,,
837,Aulacopleurida,KB,No,,
41,Austrobaileyaceae,MC,No,,
838,Balanomorpha,KB,No,,
42,Balanopaceae,MC,No,,
43,Balanophoraceae,MC,No,,
45,Barbeuiaceae,MC,No,,
46,Barbeyaceae,MC,No,,
47,Basellaceae,MC,No,,
48,Bataceae,MC,No,,
839,Bathynellacea,KB,No,,
49,Begoniaceae,KH,No,,
50,Berberidaceae,KH,No,,
51,Berberidopsidaceae,KH,No,,
52,Betulaceae,KH,No,,
53,Biebersteiniaceae,KH,No,,
54,Bignoniaceae,KH,No,,
55,Bixaceae,KH,No,,
56,Blandfordiaceae,KH,No,,
57,Bonnetiaceae,KH,No,,
58,Boraginaceae,KH,No,,
59,Boryaceae,KH,No,,
841,Bostrichopodida,KL,No,,
465,Brachylepadomorpha,KL,No,,
843,Brachypoda,KL,No,,
844,Bradoriida,KL,No,,
710,Branchiopoda,SS,No,,
713,Branchiura,SS,No,,
60,Brassicaceae,KH,No,,
61,Bromeliaceae,KH,No,,
62,Brunelliaceae,KH,No,,
63,Bruniaceae,KH,No,,
468,Burgessiida,KL,No,,
64,Burmanniaceae,KH,No,,
65,Burseraceae,KH,No,,
66,Butomaceae,KH,No,,
67,Buxaceae,KH,No,,
68,Byblidaceae,KH,No,,
69,Cabombaceae,KH,No,,
70,Cactaceae,KH,No,,
846,Calanoida,KB,No,,
847,Calanticomorpha,KB,No,,
800,Calcarea,SS,No,,
71,Calceolariaceae,SS,No,,
471,Callipodida,KB,No,,
849,Caloblattinidea,KB,No,,
473,Caloneurodea,KB,No,,
72,Calophyllaceae,SS,No,,
73,Calycanthaceae,KH,No,,
74,Calyceraceae,KH,No,,
851,Cambrocarida,KB,No,,
475,Cambropachycopida,KB,No,,
75,Campanulaceae,KH,No,,
476,Campylopterodea,KB,No,,
76,Campynemataceae,KH,No,,
77,Canellaceae,KH,No,,
78,Cannabaceae,KH,No,,
79,Cannaceae,KH,No,,
477,Canuelloida,KB,No,,
80,Capparaceae,KH,No,,
81,Caprifoliaceae,KH,No,,
855,Carbotriplurida,KB,No,,
82,Cardiopteridaceae,KH,No,,
83,Caricaceae,KH,No,,
84,Carlemanniaceae,KH,No,,
85,Caryocaraceae,KH,No,,
87,Casuarinaceae,KH,No,,
88,Celastraceae,KH,No,,
89,Centroplacaceae,KH,No,,
856,Cephalobaenida,KB,No,,
711,Cephalocarida,SS,No,,
779,Cephalopoda,KB,No,,
90,Cephalotaceae,KH,No,,
91,Ceratophyllaceae,KH,No,,
92,Cercidiphyllaceae,KH,No,,
751,Ceriantharia,SS,No,,
796,Cestoda,SS,No,,
480,Chasmataspidida,KB,No,,
858,Cheloniellida,KB,No,,
719,Chilopoda,SS,No,,
93,Chloranthaceae,KH,No,,
737,Chondrichthyes,KL,No,,
482,Chordeumatida,KB,No,,
483,Chresmododea,KB,No,,
785,Chromadorea,SS,No,,
94,Chrysobalanaceae,KH,No,,
95,Circaeasteraceae,KH,No,,
96,Cistaceae,KH,No,,
97,Cleomaceae,KH,No,,
98,Clethraceae,KH,No,,
704,Clitellata,SS,No,,
99,Clusiaceae,KH,No,,
485,Cnemidolestida,KB,No,,
100,Colchicaceae,SS,No,,
864,Collembola,KB,No,,
101,Columelliaceae,SS,No,,
102,Combretaceae,SS,No,,
103,Commelinaceae,SS,No,,
488,Concavicarida,KB,No,,
489,Conchyliocarida,KB,No,,
104,Connaraceae,SS,No,,
105,Convolvulaceae,SS,No,,
106,Coriariaceae,MC,No,,
107,Cornaceae,MC,No,,
108,Corsiaceae,MC,No,,
490,Corynexochida,KB,No,,
109,Corynocarpaceae,MC,No,,
110,Costaceae,MC,No,,
491,Cowiedesmida,KB,No,,
492,Coxoplectoptera,KB,No,,
724,Craniata,SS,No,,
111,Crassulaceae,MC,No,,
493,Craterostigmomorpha,KB,No,,
761,Crinoidea,KB,No,,
760,Crinozoa,KB,No,,
112,Crossosomataceae,MC,No,,
113,Crypteroniaceae,MC,No,,
871,Cryptophialida,KB,No,,
114,Ctenolophonaceae,MC,No,,
752,Cubozoa,SS,No,,
115,Cucurbitaceae,MC,No,,
872,Cumacea,KB,No,,
116,Cunoniaceae,MC,No,,
117,Cupressaceae,MC,No,,
118,Curtisiaceae,MC,No,,
119,Cycadaceae,MC,No,,
120,Cyclanthaceae,MC,No,,
496,Cyclestherida,KB,No,,
874,Cyclida (Cycloids),KB,No,,
775,Cyclorhagida,KB,No,,
121,Cymodoceaceae,MC,No,,
122,Cynomoriaceae,MC,No,,
124,Cyrillaceae,KH,No,,
125,Cytinaceae,AM,No,,
126,Daphniphyllaceae,AM,No,,
127,Dasypogonaceae,AM,No,,
128,Datiscaceae,AM,No,,
129,Degeneriaceae,AM,No,,
801,Demospongiae,SS,No,,
500,Dendrogastrida,KB,No,,
501,Dermaptera,KB,No,,
879,Devonobiomorpha,KL,No,,
130,Diapensiaceae,AM,No,,
880,Diaphanopterodea,KL,No,,
131,Dichapetalaceae,AM,No,,
759,Dicyemida,KB,No,,
132,Didiereaceae,AM,No,,
133,Dilleniaceae,WS,No,,
134,Dioncophyllaceae,WS,No,,
135,Dioscoreaceae,WS,No,,
136,Dipentodontaceae,MC,No,,
720,Diplopoda,SS,No,,
504,Diplura,KL,No,,
742,Dipnoi,SS,No,,
137,Dipterocarpaceae,MC,No,,
138,Dirachmaceae,MC,No,,
506,Discinocarida,KL,No,,
139,Doryanthaceae,MC,No,,
140,Droseraceae,MC,No,,
141,Drosophyllaceae,KH,No,,
142,Ebenaceae,KH,No,,
143,Ecdeiocoleaceae,KH,No,,
766,Echinoidea,KB,No,,
765,Echinozoa,KB,No,,
144,Elaeagnaceae,KH,No,,
145,Elaeocarpaceae,KH,No,,
146,Elatinaceae,KH,No,,
507,Embioptera,KB,No,,
147,Emblingiaceae,KH,No,,
508,Emeraldellida,KB,No,,
509,Enantiopoda,KB,No,,
510,Endeostigmata,KB,No,,
791,Enopla,SS,No,,
786,Enoplea,SS,No,,
772,Enteropneusta,KB,No,,
718,Entognatha,SS,No,,
768,Entoprocta,KB,No,,
700,Eoacanthocephala,AM,No,,
511,Eoarthropleurida,KB,No,,
512,Eoblattida,KB,No,,
890,Eocaridacea,KB,No,,
514,Eodiscina,KB,No,,
515,Eolepadomorpha,KB,No,,
516,Eomeganisoptera,KB,No,,
148,Ephedraceae,KH,No,,
517,Ephemeroptera,KB,No,,
149,Ericaceae,KB,No,,
518,Eridostracoda,KL,No,,
150,Eriocaulaceae,MC,No,,
151,Erythroxylaceae,MC,No,,
152,Escalloniaceae,SS,No,,
153,Eucommiaceae,SS,No,,
758,Eucycliophora,KB,No,,
519,Eugeroptera,KL,No,,
520,Euphausiacea,KL,No,,
898,Euphoberiida,KL,No,,
155,Euphroniaceae,SS,No,,
156,Eupomatiaceae,SS,No,,
157,Eupteleaceae,SS,No,,
522,Eurypterida,KL,No,,
523,Euthycarcinida,KL,No,,
159,Fagaceae,SS,No,,
160,Flagellariaceae,SS,No,,
161,Fouquieriaceae,SS,No,,
162,Francoaceae,SS,No,,
163,Frankeniaceae,SS,No,,
524,Fuxianhuiida,KL,No,,
164,Garryaceae,SS,No,,
770,Gastrotricha,KB,No,,
165,Geissolomataceae,SS,No,,
166,Gelsemiaceae,SS,No,,
525,Gelyelloida,KL,No,,
167,Gentianaceae,SS,No,,
526,Geophilomorpha,KL,No,,
168,Geraniaceae,SS,No,,
527,Geroptera,KL,No,,
169,Gerrardinaceae,SS,No,,
170,Gesneriaceae,SS,No,,
171,Ginkgoaceae,SS,No,,
172,Gisekiaceae,SS,No,,
528,Glomerida,KL,No,,
906,Glomeridesmida,KL,No,,
907,Glosselytrodea,KL,No,,
771,Gnathostomulida,KB,No,,
173,Gnetaceae,SS,No,,
174,Gomortegaceae,SS,No,,
175,Goodeniaceae,SS,No,,
788,Gordioidea,SS,No,,
176,Goupiaceae,SS,No,,
177,Griseliniaceae,SS,No,,
178,Grossulariaceae,SS,No,,
179,Grubbiaceae,SS,No,,
531,Grylloblattodea,KL,No,,
180,Guamatelaceae,SS,No,,
181,Gunneraceae,SS,No,,
726,Gymnolaemata,SS,No,,
182,Gyrostemonaceae,SS,No,,
532,Habeliida,KL,No,,
183,Haemodoraceae,SS,No,,
804,Halicryptomorpha,SS,No,,
533,Halocyprida,KL,No,,
184,Halophytaceae,SS,No,,
185,Haloragaceae,SS,No,,
186,Hamamelidaceae,SS,No,,
187,Hanguanaceae,SS,No,,
534,Haptopoda,KL,No,,
913,Harpetida,KL,No,,
188,Heliconiaceae,SS,No,,
537,Helmetiida,KL,No,,
189,Helwingiaceae,SS,No,,
539,Henningsmoenicarida,KL,No,,
190,Hernandiaceae,SS,No,,
811,Heterotardigrada,KB,No,,
750,Hexacorallia,SS,No,,
802,Hexactinellida,SS,No,,
540,Hexamerocerata,KL,No,,
191,Himantandraceae,SS,No,,
767,Holothuroidea,KB,No,,
541,Holothyrida,KL,No,,
803,Homoscleromorpha,SS,No,,
542,Hoplostraca,KL,No,,
192,Huaceae,SS,No,,
193,Humiriaceae,SS,No,,
194,Hydatellaceae,SS,No,,
195,Hydrangeaceae,SS,No,,
197,Hydroleaceae,SS,No,,
198,Hydrostachyaceae,SS,No,,
753,Hydrozoa,SS,No,,
543,Hymenocarina,KL,No,,
199,Hypericaceae,SS,No,,
922,Hypoperlida,KB,No,,
200,Hypoxidaceae,SS,No,,
923,Iblomorpha,KB,No,,
201,Icacinaceae,SS,No,,
204,Irvingiaceae,AM,No,,
547,Isopoda,KB,No,,
925,Isoxyida,KB,No,,
205,Iteaceae,AM,No,,
206,Ixioliriaceae,AM,No,,
926,Ixodida,KB,No,,
207,Ixonanthaceae,AM,No,,
209,Juglandaceae,AM,No,,
927,Julida,KB,No,,
210,Juncaceae,KB,No,,
211,Juncaginaceae,KH,No,,
928,Kazacharthra,KB,No,,
212,Kewaceae,WS,No,,
213,Kirkiaceae,WS,No,,
214,Koeberliniaceae,WS,No,,
215,Krameriaceae,WS,No,,
929,Kukaloptera,KB,No,,
216,Lacistemataceae,WS,No,,
553,Laevicaudata,KB,No,,
218,Lanariaceae,WS,No,,
219,Lardizabalaceae,WS,No,,
554,Laurida,KB,No,,
932,Leanchoiliida,KB,No,,
221,Lecythidaceae,WS,No,,
556,Leiocopida,KB,No,,
222,Lentibulariaceae,WS,No,,
557,Leperditicopida,KB,No,,
223,Lepidobotryaceae,WS,No,,
730,Leptocardii,SS,No,,
936,Leptostraca,KB,No,,
560,Lichida,KB,No,,
225,Limeaceae,WS,No,,
226,Limnanthaceae,WS,No,,
227,Linaceae,WS,No,,
228,Linderniaceae,WS,No,,
723,Lingulata,SS,No,,
561,Lipostraca,KB,No,,
939,Lithobiomorpha,KB,No,,
563,Lithoglyptida,KB,No,,
229,Loasaceae,WS,No,,
230,Loganiaceae,WS,No,,
231,Lophiocarpaceae,WS,No,,
564,Lophioneurida,KB,No,,
565,Lophogastrida,KB,No,,
232,Lophopyxidaceae,WS,No,,
233,Loranthaceae,KB,No,"Papers seem promising for ""achiasmatic"", but have to be purchased",
776,Loricifera,KB,No,,
234,Lowiaceae,WS,No,,
235,Lycopodiales,KH,No,,
236,Lycopsida,KH,No,,
237,Lythraceae,WS,No,,
238,Macarthuriaceae,AM,No,,
239,Magnoliaceae,WS,No,,
240,Malpighiaceae,KH,No,,
241,Malvaceae,KH,No,,
944,Mantophasmatodea,KB,No,,
242,Marantaceae,KH,No,,
243,Marcgraviaceae,KH,No,,
945,Marrellida,KB,No,,
946,Martinssoniida,KB,No,,
244,Martyniaceae,KH,No,,
245,Maundiaceae,KH,No,,
246,Mayacaceae,KH,No,,
247,Mazaceae,KH,No,,
571,Megaloptera,KB,No,,
949,Meganisoptera,KB,No,,
573,Megasecoptera,KB,No,,
248,Melanthiaceae,KH,No,,
